Date,Time,Magnitude,Depth,population_impacted,dangerosite_adjusted
03/05/1965,06:15:04,5.5,0.046511627906976744,0.0,faible
03/05/1965,13:42:47,5.6,0.05426356589147287,0.0,faible
03/05/1965,14:32:18,5.8,0.8694573643410852,1.4685465236591999e-05,moderee
03/05/1965,17:59:16,5.6,0.05426356589147287,0.0,faible
03/06/1965,11:10:51,5.6,0.015503875968992248,0.0,faible
03/06/1965,20:23:57,5.8,0.06976744186046512,4.5060922815831514e-05,elevee
03/07/1965,01:43:11,6.0,0.07751937984496124,0.0,faible
03/09/1965,17:57:55,6.1,0.023255813953488372,0.00027831904461506687,moderee
03/13/1965,07:33:24,5.7,0.031007751937984496,0.0,faible
03/14/1965,15:53:07,7.4,0.3221705426356589,0.0006057185343014415,moderee
03/15/1965,02:02:09,5.8,0.023255813953488372,0.005103404175247568,moderee
03/16/1965,16:46:17,6.4,0.04976744186046512,0.0,faible
03/17/1965,14:27:15,6.0,0.03875968992248062,0.0,faible
03/18/1965,06:22:12,6.3,0.34868217054263567,7.35192252144781e-05,elevee
03/18/1965,12:40:45,5.7,0.05426356589147287,0.0,faible
03/19/1965,16:20:53,6.0,0.06201550387596899,4.361810802099738e-05,elevee
03/21/1965,11:08:19,6.3,0.044806201550387594,0.0,faible
03/22/1965,02:44:49,6.5,0.047286821705426356,5.365489609402776e-07,faible
03/22/1965,22:56:27,6.2,0.07565891472868216,0.011956447855689995,moderee
03/23/1965,23:54:05,6.2,0.03875968992248062,5.365489609402776e-07,faible
03/24/1965,22:42:12,5.7,0.08527131782945736,0.002179228597182477,moderee
03/28/1965,13:23:01,5.8,0.06201550387596899,0.0,faible
03/28/1965,16:33:16,7.4,0.10852713178294573,0.013136786292027153,moderee
03/29/1965,10:47:38,6.4,0.046511627906976744,0.0,faible
03/30/1965,00:21:00,5.9,0.031007751937984496,9.684744090753364e-08,faible
03/30/1965,02:27:06,7.6,0.031007751937984496,0.0,moderee
03/31/1965,09:47:31,6.8,0.11627906976744186,0.008757456706857559,moderee
04/01/1965,07:08:37,5.9,0.09302325581395349,0.0017397893428473734,moderee
04/03/1965,11:20:43,5.8,0.015503875968992248,6.327036245332902e-05,elevee
04/04/1965,13:30:39,5.7,0.0475968992248062,0.0,faible
04/04/1965,15:36:13,5.6,0.03875968992248062,0.0,faible
04/05/1965,03:12:53,6.1,0.031007751937984496,0.000639601707222164,moderee
04/05/1965,13:52:12,5.7,0.06077519379844962,0.0,faible
04/06/1965,05:31:59,5.7,0.07751937984496124,0.13580960255157631,moderee
04/06/1965,09:42:29,6.2,0.03875968992248062,0.00023702668900710445,moderee
04/08/1965,13:43:54,6.1,0.03875968992248062,0.0,faible
04/09/1965,10:45:26,6.0,0.031007751937984496,0.0,faible
04/09/1965,23:57:06,6.2,0.10077519379844961,0.0002440760516401696,moderee
04/10/1965,14:46:51,5.7,0.027131782945736434,0.0,faible
04/10/1965,22:32:48,6.5,0.8429457364341086,0.0,faible
04/10/1965,22:53:05,6.3,0.9844961240310077,0.0,faible
04/11/1965,00:11:11,5.9,0.031007751937984496,2.2578885128369523e-06,elevee
04/11/1965,18:51:37,5.7,0.8837209302325582,0.0,faible
04/12/1965,20:41:17,5.6,0.6537984496124031,0.0,faible
04/15/1965,05:09:50,5.6,0.2558139534883721,1.0284915458129248e-05,elevee
04/16/1965,23:22:21,6.0,0.023255813953488372,1.270327381830934e-06,faible
04/18/1965,06:33:58,5.9,0.015503875968992248,0.0,faible
04/18/1965,09:39:19,6.1,0.03875968992248062,0.0,faible
04/18/1965,12:41:56,6.1,0.03875968992248062,0.0,faible
04/19/1965,23:42:00,6.0,0.05426356589147287,0.0045951445638710686,moderee
04/24/1965,21:55:29,5.8,0.10852713178294573,0.0,faible
04/25/1965,01:00:15,6.0,0.046511627906976744,0.0,faible
04/26/1965,09:47:29,5.7,0.03875968992248062,0.0,faible
04/26/1965,20:29:07,5.6,0.057054263565891467,4.029419074255049e-08,faible
04/26/1965,22:15:45,6.1,0.05751937984496124,0.0,faible
04/27/1965,10:54:24,6.0,0.046511627906976744,0.0,faible
04/27/1965,14:09:10,6.1,0.09302325581395349,8.207502504881299e-05,elevee
04/27/1965,20:09:17,5.8,0.023255813953488372,0.0,faible
04/29/1965,15:28:45,6.7,0.10031007751937986,0.0026980452865335244,moderee
04/29/1965,15:48:55,6.0,0.7441860465116279,0.0,faible
05/01/1965,21:27:54,5.6,0.023255813953488372,4.4783104974396036e-06,elevee
