Date,Time,Latitude,Longitude,Depth,Magnitude,population_impacted
03/28/1965,13:23:01,55.26,161.904,40.0,5.8,0
03/28/1965,16:33:16,-32.522,-71.233,70.0,7.4,18583245
03/29/1965,10:47:38,40.687,142.915,30.0,6.4,0
03/30/1965,00:21:00,-20.502,-173.701,20.0,5.9,137
03/30/1965,02:27:06,50.282,177.959,20.0,7.6,0
03/31/1965,09:47:31,38.365,22.405,75.0,6.8,12388263
04/01/1965,07:08:37,9.986,125.896,60.0,5.9,2461099
04/03/1965,11:20:43,15.8,-98.067,10.0,5.8,89502
04/04/1965,13:30:39,51.865,175.172,30.7,5.7,0
04/04/1965,15:36:13,-27.088,-176.046,25.0,5.6,0
04/05/1965,03:12:53,37.505,22.067,20.0,6.1,904778
04/05/1965,13:52:12,44.812,150.871,39.2,5.7,0
04/06/1965,05:31:59,36.083,139.968,50.0,5.7,192115717
04/06/1965,09:42:29,-0.463,120.039,25.0,6.2,335297
04/08/1965,13:43:54,52.192,173.437,25.0,6.1,0
04/09/1965,10:45:26,-32.707,-178.207,20.0,6.0,0
04/09/1965,23:57:06,35.047,24.318,65.0,6.2,345269
04/10/1965,14:46:51,-20.455,-173.621,17.5,5.7,0
04/10/1965,22:32:48,-17.857,-178.646,543.7,6.5,0
04/10/1965,22:53:05,-13.409,170.376,635.0,6.3,0
04/11/1965,00:11:11,-42.692,174.205,20.0,5.9,3194
04/11/1965,18:51:37,-26.168,178.628,570.0,5.7,0
04/12/1965,20:41:17,30.317,138.702,421.7,5.6,0
04/15/1965,05:09:50,25.08,122.897,165.0,5.6,14549
04/16/1965,23:22:21,64.572,-160.375,15.0,6.0,1797
04/18/1965,06:33:58,41.46,-127.416,10.0,5.9,0
04/18/1965,09:39:19,-59.687,-26.454,25.0,6.1,0
04/18/1965,12:41:56,-59.586,-26.372,25.0,6.1,0
04/19/1965,23:42:00,34.848,138.332,35.0,6.0,6500273
04/24/1965,21:55:29,11.451,140.231,70.0,5.8,0
04/25/1965,01:00:15,24.409,142.776,30.0,6.0,0
04/26/1965,09:47:29,-1.733,126.568,25.0,5.7,0
04/26/1965,20:29:07,54.157,-162.59,36.8,5.6,57
04/26/1965,22:15:45,21.045,120.798,37.1,6.1,0
04/27/1965,10:54:24,-6.822,129.504,30.0,6.0,0
04/27/1965,14:09:10,35.626,23.425,60.0,6.1,116103
04/27/1965,20:09:17,1.333,-85.075,15.0,5.8,0
04/29/1965,15:28:45,47.288,-122.406,64.7,6.7,3816644
04/29/1965,15:48:55,-5.548,110.332,480.0,6.0,0
05/01/1965,21:27:54,60.35,-146.176,15.0,5.6,6335
05/02/1965,07:13:45,28.927,128.769,22.5,5.8,50448
05/03/1965,01:09:34,-32.537,-70.569,90.0,5.8,2824874
05/03/1965,10:01:38,13.683,-89.07,15.0,5.9,7024970
05/03/1965,16:09:09,-24.281,-67.927,110.0,5.7,2063
05/04/1965,08:34:43,41.801,79.414,10.0,6.2,3135573
05/12/1965,08:05:56,-3.523,137.924,50.0,5.7,22278
05/12/1965,10:33:47,-6.174,130.358,153.1,6.1,0
05/15/1965,23:58:36,-4.131,134.946,25.0,5.8,0
05/16/1965,11:35:47,5.268,125.467,35.0,5.9,2101955
05/17/1965,17:19:33,22.336,121.248,68.4,6.7,2154829
05/19/1965,03:00:58,-8.938,159.083,35.0,5.6,1122
05/19/1965,06:03:56,-6.575,105.311,35.0,5.6,0
05/19/1965,13:59:55,-4.819,152.436,50.0,5.5,106555
05/20/1965,00:40:27,-14.921,167.34,120.0,7.7,14382
05/22/1965,03:05:46,1.309,126.239,35.0,5.7,0
05/22/1965,10:31:39,-21.126,-178.537,553.8,6.1,0
05/23/1965,23:46:15,52.149,175.119,28.5,6.0,0
