Date,Time,Latitude,Longitude,Depth,Magnitude,population_impacted,geometry
03/01/1965,13:20:57,21.122,121.148,30.0,5.6,25087,POINT (121.148 21.122)
03/01/1965,19:22:04,52.204,173.911,33.6,5.7,0,POINT (173.911 52.204)
03/01/1965,21:32:14,15.404,-92.623,105.2,5.6,924435,POINT (-92.623 15.404)
03/02/1965,22:00:05,38.399,28.226,10.0,5.8,12576347,POINT (28.226 38.399)
03/03/1965,14:39:02,-27.145,-177.262,15.0,5.6,0,POINT (-177.262 -27.145)
03/03/1965,15:14:08,-5.514,151.819,14.8,6.7,62309,POINT (151.819 -5.514)
03/03/1965,16:47:28,53.046,171.308,25.7,6.3,0,POINT (171.308 53.046)
03/04/1965,01:48:56,-5.487,146.993,200.0,5.7,0,POINT (146.993 -5.487)
03/05/1965,06:15:04,50.928,179.511,30.0,5.5,0,POINT (179.511 50.928)
03/05/1965,13:42:47,52.39,174.937,35.0,5.6,0,POINT (174.937 52.39)
03/05/1965,14:32:18,-27.027,-63.214,560.8,5.8,20774,POINT (-63.214 -27.027)
03/05/1965,17:59:16,52.416,174.239,35.0,5.6,0,POINT (174.239 52.416)
03/06/1965,11:10:51,-18.425,-132.923,10.0,5.6,0,POINT (-132.923 -18.425)
03/06/1965,20:23:57,20.13,121.461,45.0,5.8,63743,POINT (121.461 20.13)
03/07/1965,01:43:11,-29.998,-177.968,50.0,6.0,0,POINT (-177.968 -29.998)
03/09/1965,17:57:55,39.197,23.86,15.0,6.1,393709,POINT (23.86 39.197)
03/13/1965,07:33:24,53.292,-162.331,20.0,5.7,0,POINT (-162.331 53.292)
03/14/1965,15:53:07,36.405,70.724,207.8,7.4,856847,POINT (70.724 36.405)
03/15/1965,02:02:09,22.635,121.117,15.0,5.8,7219255,POINT (121.117 22.635)
03/16/1965,16:46:17,40.697,143.032,32.1,6.4,0,POINT (143.032 40.697)
03/17/1965,14:27:15,52.785,171.821,25.0,6.0,0,POINT (171.821 52.785)
03/18/1965,06:22:12,-20.036,-175.89,224.9,6.3,104000,POINT (-175.89 -20.036)
03/18/1965,12:40:45,-55.857,-26.758,35.0,5.7,0,POINT (-26.758 -55.857)
03/19/1965,16:20:53,-1.887,119.836,40.0,6.0,61702,POINT (119.836 -1.887)
03/21/1965,11:08:19,-1.547,126.623,28.9,6.3,0,POINT (126.623 -1.547)
03/22/1965,02:44:49,-15.262,-173.254,30.5,6.5,759,POINT (-173.254 -15.262)
03/22/1965,22:56:27,-31.974,-71.573,48.8,6.2,16911674,POINT (-71.573 -31.974)
03/23/1965,23:54:05,-15.382,-173.194,25.0,6.2,759,POINT (-173.194 -15.382)
03/24/1965,22:42:12,8.418,126.553,55.0,5.7,3082728,POINT (126.553 8.418)
03/28/1965,13:23:01,55.26,161.904,40.0,5.8,0,POINT (161.904 55.26)
