Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,population_impacted,geometry
02/08/1965,15:46:52,55.223,165.426,Earthquake,32.5,,,5.9,MW,,,,,,,615,POINT (165.426 55.223)
02/09/1965,05:42:05,-18.718,169.386,Earthquake,200.0,,,5.6,MW,,,,,,,1030,POINT (169.386 -18.718)
02/09/1965,17:37:17,52.815,171.904,Earthquake,30.0,,,6.0,MW,,,,,,,0,POINT (171.904 52.815)
02/12/1965,00:55:10,52.188,172.752,Earthquake,25.0,,,5.8,MW,,,,,,,0,POINT (172.752 52.188)
02/15/1965,01:25:07,51.009,179.325,Earthquake,20.0,,,5.8,MW,,,,,,,0,POINT (179.325 51.009)
02/15/1965,10:43:29,3.026,125.951,Earthquake,100.0,,,5.9,MW,,,,,,,0,POINT (125.951 3.026)
02/16/1965,12:24:10,38.908,142.095,Earthquake,53.5,,,5.7,MW,,,,,,,1084305,POINT (142.095 38.908)
02/17/1965,10:18:51,51.694,176.446,Earthquake,30.0,,,5.7,MW,,,,,,,0,POINT (176.446 51.694)
02/17/1965,18:23:57,21.527,143.081,Earthquake,340.0,,,5.6,MW,,,,,,,0,POINT (143.081 21.527)
02/18/1965,04:26:37,25.011,94.186,Earthquake,55.0,,,5.6,MW,,,,,,,854026,POINT (94.186 25.011)
02/18/1965,22:39:48,-7.251,126.715,Earthquake,35.0,,,5.9,MW,,,,,,,0,POINT (126.715 -7.251)
02/18/1965,23:13:40,51.415,179.358,Earthquake,40.4,,,5.8,MW,,,,,,,0,POINT (179.358 51.415)
02/21/1965,11:14:18,-15.343,-172.889,Earthquake,35.0,,,5.8,MW,,,,,,,0,POINT (-172.889 -15.343)
02/23/1965,22:11:47,-25.633,-70.679,Earthquake,35.0,,,7.0,MW,,,,,,,23664,POINT (-70.679 -25.633)
02/25/1965,04:51:29,-5.461,151.98,Earthquake,40.0,,,6.2,MW,,,,,,,46321,POINT (151.98 -5.461)
02/25/1965,05:22:14,51.884,173.072,Earthquake,20.3,,,6.2,MW,,,,,,,0,POINT (173.072 51.884)
02/26/1965,23:36:14,6.746,-72.971,Earthquake,160.0,,,5.6,MW,,,,,,,4340448,POINT (-72.971 6.746)
02/27/1965,07:46:25,28.133,-112.208,Earthquake,10.0,,,6.0,MW,,,,,,,22605,POINT (-112.208 28.133)
03/01/1965,07:20:56,-5.377,152.115,Earthquake,30.0,,,5.9,MW,,,,,,,42644,POINT (152.115 -5.377)
03/01/1965,08:18:57,21.104,121.218,Earthquake,30.0,,,5.7,MW,,,,,,,25087,POINT (121.218 21.104)
03/01/1965,09:08:48,-5.371,152.055,Earthquake,40.0,,,5.5,MW,,,,,,,46321,POINT (152.055 -5.371)
03/01/1965,13:20:57,21.122,121.148,Earthquake,30.0,,,5.6,MW,,,,,,,25087,POINT (121.148 21.122)
03/01/1965,19:22:04,52.204,173.911,Earthquake,33.6,,,5.7,MW,,,,,,,0,POINT (173.911 52.204)
