Date	Time	Latitude	Longitude	Depth	Magnitude	population_impacted	Magnitude_log	Depth_log	population_impacted_log	Depth_inverse	Depth_inverse_log	cluster_kmeans	cluster_dbscan	dangerosite_kmeans	dangerosite_dbscan
02/04/1965	07:23:12	51.775	173.058	10.0	5.7	0	1.9021075263969205	2.3978952727983707	0.0	0.09090909090909091	0.08701137698962977	0	0	faible	faible
02/04/1965	07:43:43	52.611	172.588	24.0	5.7	0	1.9021075263969205	3.2188758248682006	0.0	0.04	0.039220713153281295	0	0	faible	faible
02/04/1965	08:06:17	51.831	174.368	31.8	5.7	0	1.9021075263969205	3.4904285153900982	0.0	0.030487804878048783	0.030032287098875052	0	0	faible	faible
02/04/1965	08:33:41	51.948	173.969	20.0	5.6	0	1.8870696490323797	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
02/04/1965	08:40:44	51.443	179.605	30.0	7.3	0	2.1162555148025524	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
02/04/1965	12:06:08	52.773	171.974	30.0	6.5	0	2.0149030205422647	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
02/04/1965	12:50:59	51.772	174.696	20.0	5.6	0	1.8870696490323797	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
02/04/1965	14:18:29	52.975	171.091	25.0	6.4	0	2.0014800002101243	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/04/1965	15:51:25	52.99	170.874	25.0	5.8	0	1.916922612182061	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/04/1965	18:34:12	51.536	175.045	25.0	5.8	0	1.916922612182061	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/04/1965	19:44:04	13.245	-44.922	10.0	5.8	0	1.916922612182061	2.3978952727983707	0.0	0.09090909090909091	0.08701137698962977	0	0	faible	faible
02/04/1965	22:30:03	51.812	174.206	10.0	5.7	0	1.9021075263969205	2.3978952727983707	0.0	0.09090909090909091	0.08701137698962977	0	0	faible	faible
02/05/1965	06:39:50	51.762	174.841	25.0	5.7	0	1.9021075263969205	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/05/1965	09:32:11	52.438	174.321	39.5	6.3	0	1.9878743481543455	3.7013019741124933	0.0	0.024691358024691357	0.024391453124159156	0	0	faible	faible
02/05/1965	13:38:47	51.946	173.84	30.0	5.7	0	1.9021075263969205	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
02/05/1965	20:47:12	51.738	174.566	20.0	6.0	0	1.9459101490553132	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
02/05/1965	22:16:02	51.487	176.558	30.4	5.6	0	1.8870696490323797	3.4468078929142076	0.0	0.03184713375796178	0.031350529884076016	0	0	faible	faible
02/06/1965	01:40:32	53.008	-162.008	17.8	6.4	0	2.0014800002101243	2.9338568698359033	0.0	0.05319148936170213	0.05182506786458603	0	0	faible	faible
02/06/1965	04:02:54	52.184	175.505	27.7	6.2	0	1.9740810260220096	3.3568971227655755	0.0	0.03484320557491289	0.03424992304307851	0	0	faible	faible
02/06/1965	07:14:45	52.076	172.918	30.1	5.6	0	1.8870696490323797	3.4372078191851885	0.0	0.03215434083601286	0.03164821095078173	0	0	faible	faible
02/06/1965	12:22:28	51.744	175.213	37.4	5.7	0	1.9021075263969205	3.648057459593681	0.0	0.026041666666666668	0.02570835671020696	0	0	faible	faible
02/06/1965	14:11:11	52.057	174.116	17.5	5.7	0	1.9021075263969205	2.917770732084279	0.0	0.05405405405405406	0.052643733485421985	0	0	faible	faible
02/06/1965	16:50:29	53.191	-161.859	22.5	6.3	0	1.9878743481543455	3.157000421150113	0.0	0.0425531914893617	0.041672696400568025	0	0	faible	faible
02/06/1965	18:10:30	51.447	176.469	25.2	5.8	0	1.916922612182061	3.265759410767051	0.0	0.03816793893129771	0.037457562534900464	0	0	faible	faible
02/07/1965	02:17:08	51.258	173.393	17.7	5.7	0	1.9021075263969205	2.928523523860541	0.0	0.053475935828877004	0.05209511188340188	0	0	faible	faible
02/07/1965	04:11:22	52.031	175.411	25.0	5.7	0	1.9021075263969205	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/07/1965	09:25:52	51.294	179.092	25.0	5.8	0	1.916922612182061	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/08/1965	15:46:52	55.223	165.426	32.5	5.9	615	1.9315214116032138	3.5115454388310208	6.423246963533519	0.029850746268656716	0.029413885206293323	2	1	elevee	elevee
02/09/1965	05:42:05	-18.718	169.386	200.0	5.6	1030	1.8870696490323797	5.303304908059076	6.93828448401696	0.004975124378109453	0.004962789342129009	2	1	elevee	elevee
02/09/1965	17:37:17	52.815	171.904	30.0	6.0	0	1.9459101490553132	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
02/12/1965	00:55:10	52.188	172.752	25.0	5.8	0	1.916922612182061	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
02/15/1965	01:25:07	51.009	179.325	20.0	5.8	0	1.916922612182061	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
02/15/1965	10:43:29	3.026	125.951	100.0	5.9	0	1.9315214116032138	4.61512051684126	0.0	0.009900990099009901	0.00985229644301163	0	0	faible	faible
02/16/1965	12:24:10	38.908	142.095	53.5	5.7	1084305	1.9021075263969205	3.9982007016691985	13.896450708968896	0.01834862385321101	0.018182319083190436	1	1	moderee	elevee
02/17/1965	10:18:51	51.694	176.446	30.0	5.7	0	1.9021075263969205	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
02/17/1965	18:23:57	21.527	143.081	340.0	5.6	0	1.8870696490323797	5.831882477283517	0.0	0.002932551319648094	0.0029282597790883623	0	0	faible	faible
02/18/1965	04:26:37	25.011	94.186	55.0	5.6	854026	1.8870696490323797	4.02535169073515	13.657718088195992	0.017857142857142856	0.017699577099400916	1	1	moderee	elevee
02/18/1965	22:39:48	-7.251	126.715	35.0	5.9	0	1.9315214116032138	3.58351893845611	0.0	0.027777777777777776	0.02739897418811444	0	0	faible	faible
02/18/1965	23:13:40	51.415	179.358	40.4	5.8	0	1.916922612182061	3.7232808808312687	0.0	0.024154589371980676	0.023867481406643378	0	0	faible	faible
02/21/1965	11:14:18	-15.343	-172.889	35.0	5.8	0	1.916922612182061	3.58351893845611	0.0	0.027777777777777776	0.02739897418811444	0	0	faible	faible
02/23/1965	22:11:47	-25.633	-70.679	35.0	7.0	23664	2.0794415416798357	3.58351893845611	10.071752442340347	0.027777777777777776	0.02739897418811444	2	1	elevee	elevee
02/25/1965	04:51:29	-5.461	151.98	40.0	6.2	46321	1.9740810260220096	3.713572066704308	10.743372289207658	0.024390243902439025	0.024097551579060503	2	1	elevee	elevee
02/25/1965	05:22:14	51.884	173.072	20.3	6.2	0	1.9740810260220096	3.0587070727153796	0.0	0.046948356807511735	0.04587960575069364	0	0	faible	faible
02/26/1965	23:36:14	6.746	-72.971	160.0	5.6	4340448	1.8870696490323797	5.081404364984463	15.28348835694656	0.006211180124223602	0.006191970247921078	1	1	moderee	elevee
02/27/1965	07:46:25	28.133	-112.208	10.0	6.0	22605	1.9459101490553132	2.3978952727983707	10.025970636750676	0.09090909090909091	0.08701137698962977	2	1	elevee	elevee
03/01/1965	07:20:56	-5.377	152.115	30.0	5.9	42644	1.9315214116032138	3.4339872044851463	10.66066531275321	0.03225806451612903	0.0317486983145803	2	1	elevee	elevee
03/01/1965	08:18:57	21.104	121.218	30.0	5.7	25087	1.9021075263969205	3.4339872044851463	10.130144923150134	0.03225806451612903	0.0317486983145803	2	1	elevee	elevee
03/01/1965	09:08:48	-5.371	152.055	40.0	5.5	46321	1.8718021769015913	3.713572066704308	10.743372289207658	0.024390243902439025	0.024097551579060503	2	1	elevee	elevee
03/01/1965	13:20:57	21.122	121.148	30.0	5.6	25087	1.8870696490323797	3.4339872044851463	10.130144923150134	0.03225806451612903	0.0317486983145803	2	1	elevee	elevee
03/01/1965	19:22:04	52.204	173.911	33.6	5.7	0	1.9021075263969205	3.543853682063679	0.0	0.028901734104046242	0.0284919557943062	0	0	faible	faible
03/01/1965	21:32:14	15.404	-92.623	105.2	5.6	924435	1.8870696490323797	4.665324108807838	13.736939100804067	0.009416195856873822	0.009372139828863153	1	1	moderee	elevee
03/02/1965	22:00:05	38.399	28.226	10.0	5.8	12576347	1.916922612182061	2.3978952727983707	16.347328465023995	0.09090909090909091	0.08701137698962977	1	-1	moderee	anomalie
03/03/1965	14:39:02	-27.145	-177.262	15.0	5.6	0	1.8870696490323797	2.772588722239781	0.0	0.0625	0.06062462181643484	0	0	faible	faible
03/03/1965	15:14:08	-5.514	151.819	14.8	6.7	62309	2.0412203288596382	2.760009940032921	11.039877205538268	0.06329113924050632	0.06136894637629211	2	1	elevee	elevee
03/03/1965	16:47:28	53.046	171.308	25.7	6.3	0	1.9878743481543455	3.2846635654062037	0.0	0.03745318352059925	0.03676884778708897	0	0	faible	faible
03/04/1965	01:48:56	-5.487	146.993	200.0	5.7	0	1.9021075263969205	5.303304908059076	0.0	0.004975124378109453	0.004962789342129009	0	0	faible	faible
03/05/1965	06:15:04	50.928	179.511	30.0	5.5	0	1.8718021769015913	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
03/05/1965	13:42:47	52.39	174.937	35.0	5.6	0	1.8870696490323797	3.58351893845611	0.0	0.027777777777777776	0.02739897418811444	0	0	faible	faible
03/05/1965	14:32:18	-27.027	-63.214	560.8	5.8	20774	1.916922612182061	6.331145914670143	9.94150561972365	0.00177999288002848	0.0017784105700906973	2	1	elevee	elevee
03/05/1965	17:59:16	52.416	174.239	35.0	5.6	0	1.8870696490323797	3.58351893845611	0.0	0.027777777777777776	0.02739897418811444	0	0	faible	faible
03/06/1965	11:10:51	-18.425	-132.923	10.0	5.6	0	1.8870696490323797	2.3978952727983707	0.0	0.09090909090909091	0.08701137698962977	0	0	faible	faible
03/06/1965	20:23:57	20.13	121.461	45.0	5.8	63743	1.916922612182061	3.828641396489095	11.06263034094427	0.021739130434782608	0.021506205220963585	2	1	elevee	elevee
03/07/1965	01:43:11	-29.998	-177.968	50.0	6.0	0	1.9459101490553132	3.9318256327243257	0.0	0.0196078431372549	0.019418085857101582	0	0	faible	faible
03/09/1965	17:57:55	39.197	23.86	15.0	6.1	393709	1.9600947840472698	2.772588722239781	12.883369876660053	0.0625	0.06062462181643484	1	1	moderee	elevee
03/13/1965	07:33:24	53.292	-162.331	20.0	5.7	0	1.9021075263969205	3.044522437723423	0.0	0.047619047619047616	0.04652001563489285	0	0	faible	faible
03/14/1965	15:53:07	36.405	70.724	207.8	7.4	856847	2.128231705849268	5.341376856008484	13.661015818955443	0.004789272030651341	0.004777839953713146	1	3	moderee	
03/15/1965	02:02:09	22.635	121.117	15.0	5.8	7219255	1.916922612182061	2.772588722239781	15.79226245846788	0.0625	0.06062462181643484	1	1	moderee	elevee
03/16/1965	16:46:17	40.697	143.032	32.1	6.4	0	2.0014800002101243	3.4995332823830174	0.0	0.030211480362537763	0.02976410190645389	0	0	faible	faible
03/17/1965	14:27:15	52.785	171.821	25.0	6.0	0	1.9459101490553132	3.258096538021482	0.0	0.038461538461538464	0.03774032798284703	0	0	faible	faible
03/18/1965	06:22:12	-20.036	-175.89	224.9	6.3	104000	1.9878743481543455	5.420092423473958	11.552155793461898	0.004426737494466578	0.004416968311838458	2	1	elevee	elevee
03/18/1965	12:40:45	-55.857	-26.758	35.0	5.7	0	1.9021075263969205	3.58351893845611	0.0	0.027777777777777776	0.02739897418811444	0	0	faible	faible
03/19/1965	16:20:53	-1.887	119.836	40.0	6.0	61702	1.9459101490553132	3.713572066704308	11.030087831077738	0.024390243902439025	0.024097551579060503	2	1	elevee	elevee
03/21/1965	11:08:19	-1.547	126.623	28.9	6.3	0	1.9878743481543455	3.3978584803966405	0.0	0.033444816053511704	0.032897703507059034	0	0	faible	faible
03/22/1965	02:44:49	-15.262	-173.254	30.5	6.5	759	2.0149030205422647	3.449987545831587	6.633318433280377	0.031746031746031744	0.03125254350410442	2	1	elevee	elevee
03/22/1965	22:56:27	-31.974	-71.573	48.8	6.2	16913543	1.9740810260220096	3.9080149840306073	16.643625279046017	0.020080321285140562	0.019881370553828968	1	1	moderee	elevee
03/23/1965	23:54:05	-15.382	-173.194	25.0	6.2	759	1.9740810260220096	3.258096538021482	6.633318433280377	0.038461538461538464	0.03774032798284703	2	1	elevee	elevee
03/24/1965	22:42:12	8.418	126.553	55.0	5.7	3082728	1.9021075263969205	4.02535169073515	14.941325801609988	0.017857142857142856	0.017699577099400916	1	1	moderee	elevee
03/28/1965	13:23:01	55.26	161.904	40.0	5.8	0	1.916922612182061	3.713572066704308	0.0	0.024390243902439025	0.024097551579060503	0	0	faible	faible
03/28/1965	16:33:16	-32.522	-71.233	70.0	7.4	18583245	2.128231705849268	4.2626798770413155	16.73777098007378	0.014084507042253521	0.01398624197473989	1	-1	moderee	anomalie
03/29/1965	10:47:38	40.687	142.915	30.0	6.4	0	2.0014800002101243	3.4339872044851463	0.0	0.03225806451612903	0.0317486983145803	0	0	faible	faible
