Date	Time	Latitude	Longitude	Depth	Magnitude	population_impacted	Magnitude_log	Depth_log	population_impacted_log	Depth_inverse	Depth_inverse_log	cluster_kmeans	cluster_dbscan	dangerosite_kmeans	dangerosite_dbscan	dangerosite_adjusted
01/04/1965	11:29:49	1.863	127.352	80.0	5.8	34100	1.916922612182061	4.394449154672439	10.43708198835482	0.012345679012345678	0.012270092591814347	2	1	elevee	elevee	elevee
01/09/1965	13:32:50	11.938	126.427	15.0	5.8	4418	1.916922612182061	2.772588722239781	8.39366870513074	0.0625	0.06062462181643484	2	1	elevee	elevee	elevee
01/10/1965	13:36:32	-13.405	166.629	35.0	6.7	486	2.0412203288596382	3.58351893845611	6.18826412308259	0.027777777777777776	0.02739897418811444	2	1	elevee	elevee	faible
01/15/1965	23:17:42	-13.309	166.212	35.0	6.0	486	1.9459101490553132	3.58351893845611	6.18826412308259	0.027777777777777776	0.02739897418811444	2	1	elevee	elevee	faible
02/08/1965	15:46:52	55.223	165.426	32.5	5.9	615	1.9315214116032138	3.5115454388310208	6.423246963533519	0.029850746268656716	0.029413885206293323	2	1	elevee	elevee	faible
02/09/1965	05:42:05	-18.718	169.386	200.0	5.6	1030	1.8870696490323797	5.303304908059076	6.93828448401696	0.004975124378109453	0.004962789342129009	2	1	elevee	elevee	faible
03/01/1965	07:20:56	-5.377	152.115	30.0	5.9	42644	1.9315214116032138	3.4339872044851463	10.66066531275321	0.03225806451612903	0.0317486983145803	2	1	elevee	elevee	elevee
03/01/1965	08:18:57	21.104	121.218	30.0	5.7	25087	1.9021075263969205	3.4339872044851463	10.130144923150134	0.03225806451612903	0.0317486983145803	2	1	elevee	elevee	elevee
03/01/1965	09:08:48	-5.371	152.055	40.0	5.5	46321	1.8718021769015913	3.713572066704308	10.743372289207658	0.024390243902439025	0.024097551579060503	2	1	elevee	elevee	elevee
03/01/1965	13:20:57	21.122	121.148	30.0	5.6	25087	1.8870696490323797	3.4339872044851463	10.130144923150134	0.03225806451612903	0.0317486983145803	2	1	elevee	elevee	elevee
03/05/1965	14:32:18	-27.027	-63.214	560.8	5.8	20774	1.916922612182061	6.331145914670143	9.94150561972365	0.00177999288002848	0.0017784105700906973	2	1	elevee	elevee	elevee
03/06/1965	20:23:57	20.13	121.461	45.0	5.8	63743	1.916922612182061	3.828641396489095	11.06263034094427	0.021739130434782608	0.021506205220963585	2	1	elevee	elevee	elevee
03/22/1965	02:44:49	-15.262	-173.254	30.5	6.5	759	2.0149030205422647	3.449987545831587	6.633318433280377	0.031746031746031744	0.03125254350410442	2	1	elevee	elevee	faible
03/23/1965	23:54:05	-15.382	-173.194	25.0	6.2	759	1.9740810260220096	3.258096538021482	6.633318433280377	0.038461538461538464	0.03774032798284703	2	1	elevee	elevee	faible
03/30/1965	00:21:00	-20.502	-173.701	20.0	5.9	137	1.9315214116032138	3.044522437723423	4.927253685157205	0.047619047619047616	0.04652001563489285	2	4	elevee		faible
04/03/1965	11:20:43	15.8	-98.067	10.0	5.8	89502	1.916922612182061	2.3978952727983707	11.402027423254252	0.09090909090909091	0.08701137698962977	2	1	elevee	elevee	elevee
04/11/1965	00:11:11	-42.692	174.205	20.0	5.9	3194	1.9315214116032138	3.044522437723423	8.069342366811636	0.047619047619047616	0.04652001563489285	2	1	elevee	elevee	elevee
04/15/1965	05:09:50	25.08	122.897	165.0	5.6	14549	1.8870696490323797	5.111987788356544	9.585346272599638	0.006024096385542169	0.006006024060211875	2	1	elevee	elevee	elevee
05/01/1965	21:27:54	60.35	-146.176	15.0	5.6	6335	1.8870696490323797	2.772588722239781	8.754002933494261	0.0625	0.06062462181643484	2	1	elevee	elevee	elevee
05/02/1965	07:13:45	28.927	128.769	22.5	5.8	50448	1.916922612182061	3.157000421150113	10.828718203979754	0.0425531914893617	0.041672696400568025	2	1	elevee	elevee	elevee
05/03/1965	16:09:09	-24.281	-67.927	110.0	5.7	2063	1.9021075263969205	4.709530201312334	7.6324011266014535	0.009009009009009009	0.008968669982760406	2	1	elevee	elevee	elevee
05/12/1965	08:05:56	-3.523	137.924	50.0	5.7	22278	1.9021075263969205	3.9318256327243257	10.011399809730523	0.0196078431372549	0.019418085857101582	2	1	elevee	elevee	elevee
05/19/1965	03:00:58	-8.938	159.083	35.0	5.6	1122	1.8870696490323797	3.58351893845611	7.023758954738443	0.027777777777777776	0.02739897418811444	2	1	elevee	elevee	faible
05/19/1965	13:59:55	-4.819	152.436	50.0	5.5	106555	1.8718021769015913	3.9318256327243257	11.576425947532128	0.0196078431372549	0.019418085857101582	2	1	elevee	elevee	elevee
06/15/1965	09:20:34	-38.08	177.442	95.0	5.9	128196	1.9315214116032138	4.564348191467836	11.761323422258863	0.010416666666666666	0.010362787035546583	2	1	elevee	elevee	elevee
06/17/1965	20:14:51	32.052	87.784	10.0	5.9	3900	1.9315214116032138	2.3978952727983707	8.268988209506656	0.09090909090909091	0.08701137698962977	2	1	elevee	elevee	elevee
06/23/1965	11:09:17	56.543	-152.948	20.0	6.5	289	2.0149030205422647	3.044522437723423	5.66988092298052	0.047619047619047616	0.04652001563489285	2	1	elevee	elevee	faible
07/12/1965	13:57:15	-28.428	-68.25	112.4	5.7	35615	1.9021075263969205	4.730921391293652	10.480550254075272	0.008818342151675485	0.008779687652045828	2	1	elevee	elevee	elevee
07/17/1965	07:20:34	-9.72	159.888	25.0	5.9	55722	1.9315214116032138	3.258096538021482	10.928148267076118	0.038461538461538464	0.03774032798284703	2	1	elevee	elevee	elevee
